PAY_0: ['-2'],PAY_0: ['0'],PAY_0: ['2' '3+'],PAY_3: ['-1'],PAY_3: ['2' '3+'],PAY_5: ['2' '3+'],"LIMIT_BAL_YEO: (-inf, 61.79)","LIMIT_BAL_YEO: [111.07, inf)","LIMIT_BAL_YEO: [89.11, 111.07)","AGE_LOGC: [4.21, inf)","BILL_AMT1_POW: [19.77, 185.81)","BILL_AMT1_POW: [390.34, inf)","PAY_AMT1_LOGC: (-inf, 3.11)","PAY_AMT1_LOGC: [8.42, 9.78)","PAY_AMT1_LOGC: [9.78, inf)","PAY_AMT2_POW: [9.54, 44.73)","PAY_AMT3_LOGC: (-inf, 2.35)",alvo,quebra,probas,score,safras,ID,GH
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DES,0.3241553751709228,676,202110,1,B
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,DES,0.41064161483216766,589,202102,2,C
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,DES,0.34790009907741,652,202105,3,C
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,DES,0.6172121316513763,383,202101,4,E
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,DES,0.9334953287537169,67,202101,5,E
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.8485759218863606,152,202104,6,E
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,DES,0.672478288164183,328,202112,7,E
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,DES,0.3284594688488218,671,202106,8,C
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.3284594688488218,671,202109,9,C
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,DES,0.9071508484131293,93,202111,10,E
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,DES,0.6652824117403622,335,202111,11,E
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,DES,0.31677522140058756,683,202111,12,B
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DES,0.2198553862956924,780,202111,13,A
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,DES,0.6408525599297256,359,202110,14,E
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DES,0.3392829159846635,661,202108,15,C
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.4326074056880302,567,202109,16,D
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,DES,0.5960342424232525,404,202104,17,D
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DES,0.5835546208692391,417,202101,18,D
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,DES,0.3751439732768111,625,202101,19,C
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DES,0.3771634932376093,623,202110,20,C
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,DES,0.34790009907741,652,202112,21,C
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,DES,0.4106555021934511,589,202106,22,C
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.4326074056880302,567,202101,23,D
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,DES,0.872547266550919,128,202109,24,E
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DES,0.2736019323016018,726,202104,25,B
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,DES,0.3870833197038016,613,202106,26,C
